title,series,rating,language,genres,bookFormat,pages,publisher,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Rating,Num_Customers_Rated,Price
12 Rules for Life: An Antidote to Chaos,,3.94,English,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Religion', 'Unfinished', 'Science', 'Politics']",Hardcover,409,Random House Canada,['Goodreads Choice Award Nominee for Nonfiction (2018)'],102470,"['42381', '29881', '17108', '7652', '5448']",87.0,[],2018,Jordan B. Peterson,4.7,27211,12.36
"A Higher Loyalty: Truth, Lies, and Leadership",,4.1,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'History', 'Audiobook', 'Leadership', 'Autobiography', 'Biography Memoir', 'American History']",Hardcover,290,Flatiron Books,['Goodreads Choice Award Nominee for Memoir & Autobiography (2018)'],43575,"['17424', '17058', '6359', '1573', '1161']",94.0,"['White House, Washington, D.C. (United States)', 'United States of America']",2018,James Comey,4.7,7343,10.29
A Long Walk to Water: Based on a True Story,,4.28,English,"['Historical Fiction', 'Young Adult', 'Africa', 'Middle Grade', 'Fiction', 'Realistic Fiction', 'Historical', 'War', 'Childrens', 'Cultural']",Hardcover,128,Clarion Books,"[""Jane Addams Children's Book Award for Older Children (2011)"", ""Flicker Tale Children's Book Award Nominee for Juvenile (2012)"", ""Pennsylvania Young Readers' Choice Award Nominee for Grades 6-8 (2013)"", ""Rebecca Caudill Young Readers' Book Award Nominee (2015)""]",52998,"['25474', '19066', '6656', '1296', '506']",97.0,"['Sudan', 'East Africa']",2015,Linda Sue Park,4.8,8426,4.79
A Visit from the Goon Squad,,3.67,English,"['Fiction', 'Contemporary', 'Music', 'Short Stories', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature', 'Book Club', 'Adult']",Hardcover,288,Knopf,"['Pulitzer Prize for Fiction (2011)', 'Orange Prize Nominee for Fiction Longlist (2011)', 'PEN/Faulkner Award for Fiction Nominee (2011)', 'Los Angeles Times Book Prize for Fiction (2010)', 'National Book Critics Circle Award for Fiction (2010)', 'Galaxy National Book Award for International Author of the Year (2011)', 'Goodreads Choice Award Nominee for Fiction (2010)', 'International Dublin Literary Award Nominee for Shortlist (2012)', 'The Rooster -- The Morning News Tournament of Books (2011)']",175124,"['43841', '61545', '44794', '17868', '7076']",86.0,"['San Francisco, California (United States)', 'New York City, New York (United States)', 'Crandale, New York (United States)', 'Naples (Italy)', 'Pompeii (Italy)', 'Los Angeles, California (United States)', 'Times Square, New York City, New York (United States)']",2011,Jennifer Egan,3.9,1929,12.68
Alexander Hamilton,,4.21,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical', 'Biography Memoir', 'American Revolution', 'Unfinished']",Paperback,818,Penguin Books,"['George Washington Book Prize (2005)', 'National Book Critics Circle Award Nominee for Biography (2004)']",128855,"['64142', '40687', '15129', '4615', '4282']",93.0,['United States of America'],2016,Ron Chernow,4.8,13071,3.01
All the Light We Cannot See,,4.33,English,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",Hardcover,531,Scribner,"['Pulitzer Prize for Fiction (2015)', 'Audie Award for Fiction (2015)', 'ALA Alex Award (2015)', 'Dayton Literary Peace Prize Nominee for Fiction (2015)', 'Ohioana Book Award for Fiction (2015)', 'Australian Book Industry Award (ABIA) for International Book (2015)', 'Andrew Carnegie Medal for Fiction (2015)', 'Idaho Book of the Year Award (2014)', 'National Book Award Finalist for Fiction (2014)', 'Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2016)']",1024442,"['541185', '329482', '113565', '27961', '12249']",96.0,"['Paris (France)', 'Zollverein (Germany)', 'Evreux (France)', 'Saint-Malo (France)', 'Essen (Germany)', 'Berlin (Germany)', 'Schulpforte (Germany)', 'Vienna (Austria)', 'Épernay (France)', 'Nuremberg (Germany)']",2015,Anthony Doerr,4.6,40382,14.52
Allegiant,Divergent #3,3.62,English,"['Young Adult', 'Dystopia', 'Fiction', 'Science Fiction', 'Fantasy', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']",Paperback,526,HarperCollins Children's Book's,['Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013)'],826865,"['230358', '237634', '218195', '98788', '41890']",83.0,"['Chicago, Illinois (United States)']",2014,Veronica Roth,4.0,7030,13.71
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,,4.0,English,"['Nonfiction', 'Biography', 'Military Fiction', 'History', 'War', 'Memoir', 'Autobiography', 'Audiobook', 'Military History', 'Biography Memoir']",Paperback,528,HarperCollins,[],110501,"['44354', '35275', '20950', '6607', '3315']",91.0,[],2015,Chris Kyle,4.6,16858,0.35
And the Mountains Echoed,,4.05,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels', 'Book Club', 'Literary Fiction', 'Historical', 'Drama']",Hardcover,404,Riverhead Books,"['Australian Book Industry Award (ABIA) Nominee for International Book (2014)', 'Andrew Carnegie Medal Nominee for Fiction (2014)', 'Goodreads Choice Award for Fiction (2013)', 'DSC Prize Nominee for South Asian Literature  for Longlist (2015)']",301931,"['107293', '121481', '58470', '11635', '3052']",95.0,"['Kabul (Afghanistan)', 'California (United States)', 'Paris (France)', 'Tinos (Greece)', 'Afghanistan']",2013,Khaled Hosseini,4.3,12984,19.95
Astrophysics for People in a Hurry,,4.08,English,"['Nonfiction', 'Science', 'Audiobook', 'Physics', 'Space', 'Astronomy', 'History', 'Popular Science', 'Adult', 'Education']",Hardcover,224,W. W. Norton Company,"['Grammy Award Nominee for Best Spoken Word Album (2018)', 'Goodreads Choice Award for Science & Technology (2017)']",113066,"['41004', '46546', '20275', '3691', '1550']",95.0,[],2018,Neil deGrasse Tyson,4.7,12157,9.49
